Estado,salario,gasto,d2,d3
Connecticut,60 822,12 436,1,0
Illinois,58 246,9 275,1,0
Indiana,47 831,8 935,1,0
Iowa,43 130,7 807,1,0
Kansas,43 334,8 373,1,0
Maine,41 596,11 285,1,0
Massachusetts,58 624,12 596,1,0
Michigan,54 895,9 880,1,0
Minnesota,49 634,9 675,1,0
Missouri,41 839,7 840,1,0
Nebraska,42 044,7 900,1,0
New Hampshire,46 527,10 206,1,0
Nueva Jersey,59 920,13 781,1,0
Nueva York,58 537,13 551,1,0
Dakota del Norte,38 822,7 807,1,0
Ohio,51 937,10 034,1,0
Pennsylvania,54 970,10 711,1,0
Rhode Island,55 956,11 089,1,0
Dakota del Sur,35 378,7 911,1,0
Vermont,48 370,12 475,1,0
Wisconsin,47 901,9 965,1,0
Alabama,43 389,7 706,0,1
Arkansas,44 245,8 402,0,1
Delaware,54 680,12 036,0,1
Distrito de Columbia,59 000,15 508,0,1
Florida,45 308,7 762,0,1
Georgia,49 905,49 905,0,1
Kentucky,43 646,43 646,0,1
Louisiana,42 816,42 816,0,1
Maryland,56 927,56 927,0,1
Mississippi,40 182,40 182,0,1
North Carolina,46 410,46 410,0,1
Oklahoma,42 379,42 379,0,1
South Carolina,44 133,44 133,0,1
Tennessee,43 816,43 816,0,1
Texas,44 897,44 897,0,1
Virginia,44 727,44 727,0,1
West Virginia,40 531,40 531,0,1
Alaska,54 658,54 658,0,0
Arizona,45 941,45 941,0,0
California,63 640,63 640,0,0
Colorado,45 833,45 833,0,0
Hawaii,51 922,51 922,0,0
Idaho,42 798,42 798,0,0
Montana,41 225,41 225,0,0
Nevada,45 342,45 342,0,0
New Mexico,42 780,42 780,0,0
Oregon,50 911,50 911,0,0
Utah,40 566,40 566,0,0
Washington D.C.,47 882,47 882,0,0
Wyoming,50 692,50 692,0,0
